"Newport"
"Annual - Types"
"Download generated on 12/10/2017"

"","","","","2014-15 Actual","2015-16 Actual"
"Revenues","","",""," 157,455,251"," 143,577,890"
"Revenues","Local Taxes","",""," 73,924,775"," 75,173,853"
"Revenues","Local Taxes","(45101) CY Real Estate Taxes",""," 66,324,807"," 68,006,736"
"Revenues","Local Taxes","(45115) Meals and Beverage Tax",""," 2,069,020"," 2,266,128"
"Revenues","Local Taxes","(45116) Rooms Tax",""," 1,941,837"," 2,318,567"
"Revenues","Local Taxes","(45103) CY Motor Vehicle Taxes",""," 1,840,371"," 1,877,339"
"Revenues","Local Taxes","(45105) Real Estate Delinquent",""," 1,265,060"," 1,089,853"
"Revenues","Local Taxes","(45110) Penalties",""," 354,530"," 310,824"
"Revenues","Local Taxes","(45107) Motor Vehicle Delinquent",""," 106,814"," 118,091"
"Revenues","Local Taxes","(45111) Tax Liens",""," 22,337"," 22,427"
"Revenues","Local Taxes","(45112) Tax Abatements",""," 0"," -836,111"
"Revenues","User Fees","",""," 31,326,979"," 31,384,845"
"Revenues","User Fees","(47109) Metered Water Charges",""," 11,771,666"," 11,100,666"
"Revenues","User Fees","(47111) Metered User Fees",""," 7,959,854"," 8,427,600"
"Revenues","User Fees","(47110) Bulk Water Charges",""," 3,472,252"," 3,357,773"
"Revenues","User Fees","(45862) CSO Fixed Fee",""," 2,089,693"," 2,187,593"
"Revenues","User Fees","(45801) Equipment Operations Interfu",""," 1,365,690"," 1,210,036"
"Revenues","User Fees","(47105) Public Fire Protection",""," 973,663"," 948,076"
"Revenues","User Fees","(47125) Water Billing Charges",""," 923,473"," 924,568"
"Revenues","User Fees","(45857) Sewage Treatment Navy",""," 668,506"," 1,058,057"
"Revenues","User Fees","(45891) Parking Meters",""," 685,996"," 843,349"
"Revenues","User Fees","(45856) Sewage Treatment Water Fund",""," 467,154"," 372,360"
"Revenues","User Fees","(47107) Private Fire Protection",""," 404,678"," 405,164"
"Revenues","User Fees","(47136) Middletown Reimbursement",""," 146,895"," 147,785"
"Revenues","User Fees","(47100) Sundry Billings",""," 147,125"," 120,239"
"Revenues","User Fees","(45879) Pre-treatment Fees",""," 117,288"," 121,703"
"Revenues","User Fees","(47135) Water Penalty",""," 54,474"," 55,922"
"Revenues","User Fees","(47120) User Fee Penalties",""," 36,841"," 34,018"
"Revenues","User Fees","(47137) Water Quality Protection Rev",""," 23,638"," 20,964"
"Revenues","User Fees","(47115) Other Revenue",""," 25"," 28,872"
"Revenues","User Fees","(45855) Sewer Assessment Fee",""," 10,215"," 15,130"
"Revenues","User Fees","(47130) Water Misc Revenue",""," 7,853"," 4,972"
"Revenues","Contributions","",""," 11,633,389"," 11,559,296"
"Revenues","Contributions","(45807) Contribution From City",""," 10,060,268"," 10,060,268"
"Revenues","Contributions","(45810) Unfunded Member Contribution",""," 1,095,144"," 1,049,530"
"Revenues","Contributions","(47150) Middletown Contrib to Emergency",""," 338,610"," 337,455"
"Revenues","Contributions","(45811) Contributions",""," 139,367"," 112,043"
"Revenues","Charges for Services","",""," 9,593,161"," 8,718,358"
"Revenues","Charges for Services","(45505) Special Detail Charges",""," 1,955,739"," 1,818,733"
"Revenues","Charges for Services","(45640) Building Permits",""," 1,020,579"," 1,013,869"
"Revenues","Charges for Services","(45540) Management Services to Other",""," 881,628"," 719,014"
"Revenues","Charges for Services","(45603) Parking Tickets",""," 700,913"," 885,992"
"Revenues","Charges for Services","(45608) Rescue Fees",""," 790,197"," 661,029"
"Revenues","Charges for Services","(45606) Real Estate Conveyance Fee",""," 765,799"," 630,271"
"Revenues","Charges for Services","(45666) Jai Alai Video and Slot Mach",""," 456,356"," 453,277"
"Revenues","Charges for Services","(45502) GMH Service Charges",""," 351,388"," 361,975"
"Revenues","Charges for Services","(45605) Recording Fees",""," 294,772"," 299,677"
"Revenues","Charges for Services","(45644) Mechanical Permits",""," 254,977"," 166,146"
"Revenues","Charges for Services","(45646) Electrical Permits",""," 255,296"," 154,018"
"Revenues","Charges for Services","(45616) Liquor Licenses",""," 192,090"," 191,680"
"Revenues","Charges for Services","(45503) HOPE VI Service Charges",""," 170,027"," 178,201"
"Revenues","Charges for Services","(45545) Fire Alarm Assessment",""," 160,373"," 154,743"
"Revenues","Charges for Services","(45660) Municipal Court Assessments",""," 141,620"," 140,155"
"Revenues","Charges for Services","(45654) Fire Inspection Fees",""," 157,244"," 81,246"
"Revenues","Charges for Services","(47103) Disposal Permits",""," 130,471"," 75,859"
"Revenues","Charges for Services","(45549) Recreation Fees",""," 100,162"," 91,226"
"Revenues","Charges for Services","(45610) General Business Fee",""," 92,518"," 90,307"
"Revenues","Charges for Services","(45652) Road Opening Permits",""," 99,863"," 79,386"
"Revenues","Charges for Services","(45530) Computer Processing Fees",""," 178,887"," 0"
"Revenues","Charges for Services","(45642) Plumbing Permits",""," 82,872"," 54,822"
"Revenues","Charges for Services","(45515) Document Preparation and Han",""," 60,030"," 64,765"
"Revenues","Charges for Services","(45624) Victualing Licenses",""," 57,080"," 56,388"
"Revenues","Charges for Services","(45607) Probate Fees",""," 36,451"," 51,341"
"Revenues","Charges for Services","(45601) Ballfield Rentals",""," 34,573"," 32,699"
"Revenues","Charges for Services","(45648) Board of Appeals Fee",""," 16,475"," 39,442"
"Revenues","Charges for Services","(45614) Entertainment Licenses",""," 25,185"," 25,680"
"Revenues","Charges for Services","(45620) Sunday Selling Licenses",""," 24,500"," 23,400"
"Revenues","Charges for Services","(45656) Fire Sundry",""," 19,550"," 19,137"
"Revenues","Charges for Services","(45547) Bulky Waste Sticker Prog",""," 9,620"," 25,780"
"Revenues","Charges for Services","(45650) Historic District Commission",""," 13,200"," 11,550"
"Revenues","Charges for Services","(45618) Mechanical Amusement License",""," 11,200"," 10,675"
"Revenues","Charges for Services","(45658) Police Sundry",""," 6,621"," 10,330"
"Revenues","Charges for Services","(45612) Hotel Registration Fees",""," 7,550"," 8,500"
"Revenues","Charges for Services","(45504) Salve Regina Service Charge",""," 6,902"," 6,902"
"Revenues","Charges for Services","(45628) Marriage Licenses",""," 5,744"," 5,992"
"Revenues","Charges for Services","(45889) King Park Permits",""," 6,102"," 4,750"
"Revenues","Charges for Services","(45517) Solid Waste Hauler Lic Fee",""," 4,750"," 5,250"
"Revenues","Charges for Services","(45548) HR Regional Testing Charges",""," 5,130"," 4,465"
"Revenues","Charges for Services","(45626) Animal Licenses",""," 4,502"," 4,432"
"Revenues","Charges for Services","(45880) Fishing Vehicle Parking Fees",""," 2,160"," 2,657"
"Revenues","Charges for Services","(45516) Planning Services",""," 653"," 1,297"
"Revenues","Charges for Services","(45664) Vendor Rights",""," 659"," 994"
"Revenues","Charges for Services","(45546) Recycling Bins",""," 599"," 0"
"Revenues","Charges for Services","(45662) Payphone Commissions",""," 154"," 306"
"Revenues","Transfers","",""," 4,040,174"," 5,905,251"
"Revenues","Transfers","(48007) Transfer In for Capital Proj",""," 2,943,950"," 2,702,524"
"Revenues","Transfers","(46002) Transfer From Other Funds",""," 1,096,224"," 3,202,727"
"Revenues","State and Federal Aid","",""," 4,483,059"," 5,124,885"
"Revenues","State and Federal Aid","(45326) School Housing Aid from Stat",""," 1,017,394"," 1,562,420"
"Revenues","State and Federal Aid","(45328) PILOT From State",""," 1,315,321"," 1,250,492"
"Revenues","State and Federal Aid","(45345) Federal Aid",""," 718,690"," 790,293"
"Revenues","State and Federal Aid","(45331) State Aid",""," 394,773"," 672,694"
"Revenues","State and Federal Aid","(45323) Public Service Corp State Ai",""," 330,398"," 301,205"
"Revenues","State and Federal Aid","(45329) Library Construction State A",""," 200,053"," 193,228"
"Revenues","State and Federal Aid","(45335) Pension Incentive Aid (State",""," 116,689"," 118,991"
"Revenues","State and Federal Aid","(45350) Federal Stimulus Aid",""," 191,543"," 0"
"Revenues","State and Federal Aid","(45325) Motor Vehicle Phase Out Stat",""," 77,876"," 77,989"
"Revenues","State and Federal Aid","(45340) FEMA",""," 0"," 104,839"
"Revenues","State and Federal Aid","(45333) Federal Drug Seizure Forfeit",""," 40,878"," 35,405"
"Revenues","State and Federal Aid","(45330) Statistical Update Reimburse",""," 73,314"," 0"
"Revenues","State and Federal Aid","(45334) State Drug Seizure Forfeitur",""," 1,509"," 12,117"
"Revenues","State and Federal Aid","(45332) DARE",""," 4,620"," 5,212"
"Revenues","Other Financing Sources","",""," 6,158,546"," 0"
"Revenues","Other Financing Sources","(46005) OFS Bond Proceeds",""," 5,735,000"," 0"
"Revenues","Other Financing Sources","(46011) OFS Bond Premium",""," 423,546"," 0"
