"Newport"
"Budget Report - Types"
"Download generated on 12/10/2017"

"","","","2016-17 Adopted Budget","2016-17 Projected","2017-18 Proposed Budget","2017-18 Adopted Budget","2018-19 Proposed Budget"
"Revenues","",""," 92,014,275"," 92,511,328"," 94,719,805"," 94,666,615"," 96,313,778"
"Revenues","Local Taxes",""," 77,885,293"," 79,256,638"," 80,917,762"," 80,664,572"," 83,388,415"
"Revenues","Local Taxes","CY Real Estate Taxes"," 70,765,293"," 70,629,766"," 72,990,890"," 72,644,995"," 75,661,543"
"Revenues","Local Taxes","Rooms Tax"," 2,200,000"," 2,400,000"," 2,600,000"," 2,600,000"," 2,500,000"
"Revenues","Local Taxes","Meals and Beverage Tax"," 2,150,000"," 2,400,000"," 2,500,000"," 2,592,705"," 2,400,000"
"Revenues","Local Taxes","CY Motor Vehicle Taxes"," 2,050,000"," 2,106,872"," 2,106,872"," 2,106,872"," 2,106,872"
"Revenues","Local Taxes","Real Estate Delinquent"," 1,250,000"," 1,250,000"," 1,250,000"," 1,250,000"," 1,250,000"
"Revenues","Local Taxes","Penalties"," 350,000"," 350,000"," 350,000"," 350,000"," 350,000"
"Revenues","Local Taxes","Motor Vehicle Delinquent"," 95,000"," 95,000"," 95,000"," 95,000"," 95,000"
"Revenues","Local Taxes","Tax Liens"," 25,000"," 25,000"," 25,000"," 25,000"," 25,000"
"Revenues","Local Taxes","Tax Abatements"," -1,000,000"," 0"," -1,000,000"," -1,000,000"," -1,000,000"
"Revenues","Charges for Services",""," 8,701,287"," 8,359,540"," 8,678,552"," 8,878,552"," 7,911,552"
"Revenues","Charges for Services","Special Detail Charges"," 1,900,000"," 1,600,000"," 1,900,000"," 1,900,000"," 1,583,000"
"Revenues","Charges for Services","Building Permits"," 1,000,000"," 1,000,000"," 1,000,000"," 1,000,000"," 1,000,000"
"Revenues","Charges for Services","Management Services to Other"," 760,485"," 832,750"," 832,750"," 832,750"," 832,750"
"Revenues","Charges for Services","Real Estate Conveyance Fee"," 700,000"," 700,000"," 700,000"," 800,000"," 700,000"
"Revenues","Charges for Services","Parking Tickets"," 700,000"," 700,000"," 700,000"," 800,000"," 700,000"
"Revenues","Charges for Services","Rescue Fees"," 660,000"," 675,000"," 700,000"," 700,000"," 700,000"
"Revenues","Charges for Services","Jai Alai Video and Slot Mach"," 450,000"," 450,000"," 450,000"," 450,000"," 0"
"Revenues","Charges for Services","GMH Service Charges"," 350,000"," 350,000"," 360,000"," 360,000"," 360,000"
"Revenues","Charges for Services","Recording Fees"," 300,000"," 300,000"," 300,000"," 300,000"," 300,000"
"Revenues","Charges for Services","Liquor Licenses"," 190,000"," 190,000"," 190,000"," 190,000"," 190,000"
"Revenues","Charges for Services","HOPE VI Service Charges"," 160,000"," 180,000"," 180,000"," 180,000"," 180,000"
"Revenues","Charges for Services","Mechanical Permits"," 170,000"," 170,000"," 170,000"," 170,000"," 170,000"
"Revenues","Charges for Services","Fire Alarm Assessment"," 154,000"," 154,000"," 154,000"," 154,000"," 154,000"
"Revenues","Charges for Services","Electrical Permits"," 150,000"," 150,000"," 150,000"," 150,000"," 150,000"
"Revenues","Charges for Services","Municipal Court Assessments"," 170,000"," 130,000"," 120,000"," 120,000"," 120,000"
"Revenues","Charges for Services","Fire Inspection Fees"," 150,000"," 100,000"," 100,000"," 100,000"," 100,000"
"Revenues","Charges for Services","General Business Fee"," 90,000"," 90,000"," 90,000"," 90,000"," 90,000"
"Revenues","Charges for Services","Recreation Fees"," 110,000"," 85,000"," 85,000"," 85,000"," 85,000"
"Revenues","Charges for Services","Road Opening Permits"," 85,000"," 85,000"," 80,000"," 80,000"," 80,000"
"Revenues","Charges for Services","Document Preparation and Han"," 65,000"," 65,000"," 65,000"," 65,000"," 65,000"
"Revenues","Charges for Services","Victualing Licenses"," 56,000"," 56,000"," 56,000"," 56,000"," 56,000"
"Revenues","Charges for Services","Plumbing Permits"," 50,000"," 50,000"," 50,000"," 50,000"," 50,000"
"Revenues","Charges for Services","Probate Fees"," 45,000"," 45,000"," 45,000"," 45,000"," 45,000"
"Revenues","Charges for Services","Ballfield Rentals"," 28,000"," 28,000"," 28,000"," 28,000"," 28,000"
"Revenues","Charges for Services","Sunday Selling Licenses"," 25,000"," 25,000"," 25,000"," 25,000"," 25,000"
"Revenues","Charges for Services","Entertainment Licenses"," 25,000"," 25,000"," 25,000"," 25,000"," 25,000"
"Revenues","Charges for Services","Bulky Waste Sticker Prog"," 20,000"," 25,000"," 25,000"," 25,000"," 25,000"
"Revenues","Charges for Services","Board of Appeals Fee"," 17,000"," 17,000"," 17,000"," 17,000"," 17,000"
"Revenues","Charges for Services","Fire Sundry"," 15,000"," 15,000"," 15,000"," 15,000"," 15,000"
"Revenues","Charges for Services","Historic District Commission"," 17,000"," 12,000"," 12,000"," 12,000"," 12,000"
"Revenues","Charges for Services","Mechanical Amusement License"," 12,000"," 12,000"," 12,000"," 12,000"," 12,000"
"Revenues","Charges for Services","Police Sundry"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"
"Revenues","Charges for Services","Hotel Registration Fees"," 7,000"," 7,000"," 7,000"," 7,000"," 7,000"
"Revenues","Charges for Services","Salve Regina Service Charge"," 6,902"," 6,902"," 6,902"," 6,902"," 6,902"
"Revenues","Charges for Services","Community Development Servic"," 30,000"," 0"," 0"," 0"," 0"
"Revenues","Charges for Services","Marriage Licenses"," 5,000"," 5,000"," 5,000"," 5,000"," 5,000"
"Revenues","Charges for Services","Solid Waste Hauler Lic Fee"," 4,500"," 4,500"," 4,500"," 4,500"," 4,500"
"Revenues","Charges for Services","Animal Licenses"," 4,000"," 4,000"," 4,000"," 4,000"," 4,000"
"Revenues","Charges for Services","HR Regional Testing Charges"," 3,500"," 3,500"," 3,500"," 3,500"," 3,500"
"Revenues","Charges for Services","Vendor Rights"," 5,000"," 762"," 0"," 0"," 0"
"Revenues","Charges for Services","Planning Services"," 900"," 900"," 900"," 900"," 900"
"Revenues","Charges for Services","Payphone Commissions"," 0"," 200"," 0"," 0"," 0"
"Revenues","Charges for Services","Fishing / Hunting Licenses"," 0"," 26"," 0"," 0"," 0"
"Revenues","State and Federal Aid",""," 3,378,688"," 3,397,650"," 3,597,491"," 3,597,491"," 3,467,811"
"Revenues","State and Federal Aid","School Housing Aid from Stat"," 1,473,775"," 1,473,775"," 1,535,005"," 1,535,005"," 1,505,885"
"Revenues","State and Federal Aid","PILOT From State"," 1,357,719"," 1,357,719"," 1,405,248"," 1,405,248"," 1,405,248"
"Revenues","State and Federal Aid","Public Service Corp State Ai"," 301,205"," 316,689"," 316,689"," 316,689"," 316,689"
"Revenues","State and Federal Aid","Library Construction State A"," 168,000"," 171,478"," 168,000"," 168,000"," 162,000"
"Revenues","State and Federal Aid","Motor Vehicle Phase Out Stat"," 77,989"," 77,989"," 77,989"," 77,989"," 77,989"
"Revenues","State and Federal Aid","Statistical Update Reimburse"," 0"," 0"," 94,560"," 94,560"," 0"
"Revenues","Beach Revenue",""," 863,500"," 813,000"," 816,500"," 816,500"," 836,500"
"Revenues","Beach Revenue","Beach Parking Revenue"," 515,000"," 515,000"," 515,000"," 515,000"," 515,000"
"Revenues","Beach Revenue","Rotunda Rentals"," 155,000"," 125,000"," 130,000"," 130,000"," 150,000"
"Revenues","Beach Revenue","Food Concession Revenues"," 48,000"," 48,000"," 48,000"," 48,000"," 48,000"
"Revenues","Beach Revenue","Bathhouse Rentals"," 36,000"," 44,000"," 44,000"," 44,000"," 44,000"
"Revenues","Beach Revenue","Beach Parking Meters"," 37,500"," 37,500"," 37,500"," 37,500"," 37,500"
"Revenues","Beach Revenue","Beach Store Sales"," 27,500"," 20,000"," 20,000"," 20,000"," 20,000"
"Revenues","Beach Revenue","Carousel Income"," 15,000"," 15,000"," 15,000"," 15,000"," 15,000"
"Revenues","Beach Revenue","Outside Vendor Revenues"," 6,000"," 6,000"," 6,000"," 6,000"," 6,000"
"Revenues","Beach Revenue","Beach Bounce Fees"," 20,000"," 0"," 0"," 0"," 0"
"Revenues","Beach Revenue","Easton's Beach Misc Revenue"," 2,500"," 2,500"," 1,000"," 1,000"," 1,000"
"Revenues","Beach Revenue","Beach Bounce Food"," 1,000"," 0"," 0"," 0"," 0"
"Revenues","Investment Income",""," 350,000"," 200,000"," 350,000"," 350,000"," 350,000"
"Revenues","Investment Income","Investment Income"," 350,000"," 200,000"," 350,000"," 350,000"," 350,000"
"Revenues","Contributions/Sale of Property",""," 134,500"," 134,500"," 134,500"," 134,500"," 134,500"
"Revenues","Contributions/Sale of Property","Trust Fund Revenue"," 81,500"," 81,500"," 81,500"," 81,500"," 81,500"
"Revenues","Contributions/Sale of Property","Preservation Society Income"," 50,000"," 50,000"," 50,000"," 50,000"," 50,000"
"Revenues","Contributions/Sale of Property","Sale of Surplus Equipment"," 3,000"," 3,000"," 3,000"," 3,000"," 3,000"
"Revenues","Miscellaneous Revenue",""," 150,000"," 150,000"," 100,000"," 100,000"," 100,000"
"Revenues","Miscellaneous Revenue","Miscellaneous Revenues"," 150,000"," 150,000"," 100,000"," 100,000"," 100,000"
"Revenues","Use of Money and Property",""," 100,000"," 100,000"," 100,000"," 100,000"," 100,000"
"Revenues","Use of Money and Property","Rental of Property"," 100,000"," 100,000"," 100,000"," 100,000"," 100,000"
"Revenues","Revenues",""," 310,000"," 0"," 0"," 25,000"," 0"
"Revenues","Revenues","Appropriated from Fuel Savings"," 310,000"," 0"," 0"," 0"," 0"
"Revenues","Revenues","Scholarships/Contributions Rec"," 0"," 0"," 0"," 25,000"," 0"
"Revenues","Other",""," 100,000"," 100,000"," 0"," 0"," 0"
"Revenues","Other","Salary Reimbursement from Pa"," 100,000"," 100,000"," 0"," 0"," 0"
"Revenues","Contributions",""," 41,007"," 0"," 25,000"," 0"," 25,000"
"Revenues","Contributions","Scholarships/Contributions Rec"," 0"," 0"," 25,000"," 0"," 25,000"
"Revenues","Contributions","Contributions"," 41,007"," 0"," 0"," 0"," 0"
"Expenses","",""," 92,014,275"," 92,469,579"," 94,719,805"," 94,666,615"," 96,313,778"
"Expenses","School Appropriation",""," 25,284,733"," 25,284,733"," 25,664,004"," 25,585,004"," 26,048,964"
"Expenses","School Appropriation","School Appropriation"," 25,284,733"," 25,284,733"," 25,664,004"," 25,585,004"," 26,048,964"
"Expenses","Salaries",""," 24,916,904"," 25,294,853"," 25,684,258"," 25,675,231"," 26,053,196"
"Expenses","Salaries","Salaries"," 19,995,717"," 19,932,349"," 20,192,467"," 20,193,795"," 20,933,190"
"Expenses","Salaries","Overtime"," 1,520,118"," 1,851,021"," 1,739,980"," 1,720,505"," 1,756,818"
"Expenses","Salaries","Special Detail Pay"," 1,558,000"," 1,458,000"," 1,558,000"," 1,558,000"," 1,138,000"
"Expenses","Salaries","Temporary & Seasonal Wages"," 640,600"," 773,706"," 778,600"," 787,720"," 803,344"
"Expenses","Salaries","Holiday Pay"," 640,119"," 597,862"," 627,011"," 627,011"," 633,644"
"Expenses","Salaries","Annual Leave Sell Back"," 375,000"," 400,000"," 400,000"," 400,000"," 400,000"
"Expenses","Salaries","Severance Benefits"," 300,000"," 400,000"," 300,000"," 300,000"," 300,000"
"Expenses","Salaries","EMT Certification Pay"," 123,000"," 117,965"," 123,000"," 123,000"," 123,000"
"Expenses","Salaries","Contingency Salary Adjustmen"," 0"," 0"," 200,000"," 200,000"," 200,000"
"Expenses","Salaries","Monthly Salaries"," 35,850"," 35,850"," 36,700"," 36,700"," 36,700"
"Expenses","Salaries","Directed Enforcement"," 20,000"," 20,000"," 20,000"," 20,000"," 20,000"
"Expenses","Salaries","Instructor's Salary"," 6,000"," 5,600"," 6,000"," 6,000"," 6,000"
"Expenses","Salaries","Police Fitness Incentive Pay"," 2,500"," 2,500"," 2,500"," 2,500"," 2,500"
"Expenses","Salaries","Salary Vacancy Factor"," -300,000"," -300,000"," -300,000"," -300,000"," -300,000"
"Expenses","Employee Benefits",""," 19,948,104"," 19,856,478"," 20,786,442"," 21,358,954"," 21,683,528"
"Expenses","Employee Benefits","City Contribution to Pension"," 10,233,034"," 10,233,034"," 10,538,862"," 10,538,862"," 11,000,269"
"Expenses","Employee Benefits","Employee Benefits"," 5,680,640"," 5,625,067"," 6,066,771"," 6,592,363"," 6,361,178"
"Expenses","Employee Benefits","Monthly Benefits"," 2,273,299"," 2,312,977"," 2,443,309"," 2,490,229"," 2,526,831"
"Expenses","Employee Benefits","City Contribution to OPEB Tr"," 720,000"," 720,000"," 720,000"," 720,000"," 720,000"
"Expenses","Employee Benefits","Retiree Insurance"," 576,131"," 525,000"," 577,500"," 577,500"," 635,250"
"Expenses","Employee Benefits","Worker's Compensation"," 310,000"," 310,000"," 310,000"," 310,000"," 310,000"
"Expenses","Employee Benefits","Unemployment Insurance"," 100,000"," 75,000"," 75,000"," 75,000"," 75,000"
"Expenses","Employee Benefits","Tuition Reimbursement"," 55,000"," 55,200"," 55,000"," 55,000"," 55,000"
"Expenses","Employee Benefits","Hospital Insurance"," 0"," 200"," 0"," 0"," 0"
"Expenses","Debt",""," 5,298,158"," 5,263,061"," 5,538,922"," 5,538,922"," 5,447,352"
"Expenses","Debt","General Debt Principal"," 3,625,435"," 3,625,435"," 3,899,733"," 3,899,733"," 3,950,133"
"Expenses","Debt","Interest Expense"," 1,637,626"," 1,637,626"," 1,639,189"," 1,639,189"," 1,497,219"
"Expenses","Debt","Principal Debt Repayment"," 32,470"," 0"," 0"," 0"," 0"
"Expenses","Debt","UDAG Loan Interest"," 2,627"," 0"," 0"," 0"," 0"
"Expenses","Purchased Services",""," 4,682,247"," 4,662,544"," 4,903,646"," 4,824,371"," 4,877,183"
"Expenses","Purchased Services","Contract Services"," 2,074,839"," 2,115,314"," 2,149,659"," 2,143,209"," 2,222,590"
"Expenses","Purchased Services","Recycling Collection"," 620,000"," 620,000"," 620,000"," 620,000"," 630,000"
"Expenses","Purchased Services","Liability Insurance"," 464,464"," 398,356"," 444,100"," 419,100"," 449,100"
"Expenses","Purchased Services","Phone and Communications"," 395,888"," 395,588"," 401,967"," 356,967"," 406,967"
"Expenses","Purchased Services","Annual Software Contract Fee"," 245,850"," 245,850"," 256,050"," 256,050"," 265,300"
"Expenses","Purchased Services","Yard Waste Composting"," 225,000"," 225,000"," 225,000"," 225,000"," 235,000"
"Expenses","Purchased Services","Disposal - City Streets and"," 215,000"," 215,000"," 222,500"," 222,500"," 230,000"
"Expenses","Purchased Services","Conferences and Training"," 108,630"," 107,030"," 145,130"," 145,130"," 145,130"
"Expenses","Purchased Services","Potter League Shelter"," 100,780"," 92,500"," 97,125"," 97,125"," 101,981"
"Expenses","Purchased Services","Revaluation Expense"," 0"," 0"," 157,600"," 157,600"," 0"
"Expenses","Purchased Services","Advertising"," 53,200"," 53,759"," 55,700"," 57,875"," 57,300"
"Expenses","Purchased Services","Annual Hardware Contract Fee"," 53,957"," 53,957"," 36,025"," 36,025"," 36,025"
"Expenses","Purchased Services","Consulting Fees"," 50,000"," 70,000"," 25,000"," 25,000"," 25,000"
"Expenses","Purchased Services","Labor Relations Expense"," 20,000"," 20,000"," 25,000"," 20,000"," 25,000"
"Expenses","Purchased Services","Bulky Waste Collection and D"," 20,000"," 20,000"," 20,000"," 20,000"," 20,000"
"Expenses","Purchased Services","Seaweed Removal"," 12,500"," 12,500"," 10,000"," 10,000"," 10,000"
"Expenses","Purchased Services","Software License Fees"," 11,690"," 11,690"," 5,290"," 5,290"," 10,290"
"Expenses","Purchased Services","Bank Fees"," 5,100"," 5,100"," 6,500"," 6,500"," 6,500"
"Expenses","Purchased Services","Laundry Services"," 1,500"," 900"," 1,000"," 1,000"," 1,000"
"Expenses","Purchased Services","New Seaweed Removal UDAG Loa"," 3,849"," 0"," 0"," 0"," 0"
"Expenses","Transfers",""," 3,384,960"," 3,384,960"," 3,116,286"," 2,816,286"," 3,117,786"
"Expenses","Transfers","Transfer to Capital Projects"," 3,284,960"," 3,284,960"," 2,516,286"," 0"," 2,517,786"
"Expenses","Transfers","Transfer to Capital Improvement Fund"," 0"," 0"," 0"," 2,816,286"," 0"
"Expenses","Transfers","Transfer to Infrastructure Fund"," 200,000"," 200,000"," 600,000"," 0"," 600,000"
"Expenses","Transfers","Unallocated Health Ins. Savings"," -100,000"," -100,000"," 0"," 0"," 0"
"Expenses","Utilities",""," 1,993,912"," 2,025,897"," 2,023,332"," 2,021,832"," 2,074,332"
"Expenses","Utilities","Electricity"," 895,340"," 914,500"," 920,560"," 920,560"," 921,560"
"Expenses","Utilities","Refuse Collections"," 677,300"," 663,600"," 659,000"," 659,000"," 674,000"
"Expenses","Utilities","Refuse Disposal"," 225,000"," 250,000"," 250,000"," 250,000"," 285,000"
"Expenses","Utilities","Water Charges"," 89,475"," 100,000"," 95,475"," 108,475"," 95,475"
"Expenses","Utilities","Natural Gas"," 68,450"," 67,450"," 71,950"," 82,450"," 71,950"
"Expenses","Utilities","Heating Oil"," 38,347"," 30,347"," 26,347"," 1,347"," 26,347"
"Expenses","Library",""," 1,840,411"," 1,840,411"," 1,868,017"," 1,868,017"," 1,896,037"
"Expenses","Library","Public Library Appropriation"," 1,840,411"," 1,840,411"," 1,868,017"," 1,868,017"," 1,896,037"
"Expenses","Supplies and Materials",""," 1,273,710"," 1,205,865"," 1,298,968"," 1,258,068"," 1,277,968"
"Expenses","Supplies and Materials","Uniforms and Protective Gear"," 295,926"," 292,337"," 307,176"," 295,176"," 307,176"
"Expenses","Supplies and Materials","Operating Supplies"," 267,580"," 256,878"," 273,373"," 274,373"," 273,873"
"Expenses","Supplies and Materials","Road Supplies"," 185,000"," 185,000"," 185,000"," 155,000"," 185,000"
"Expenses","Supplies and Materials","Office Supplies"," 105,650"," 89,750"," 95,650"," 95,650"," 95,150"
"Expenses","Supplies and Materials","Equipment Parts"," 73,300"," 32,300"," 75,500"," 75,500"," 75,500"
"Expenses","Supplies and Materials","Dues and Subscriptions"," 52,764"," 51,060"," 56,159"," 56,159"," 56,159"
"Expenses","Supplies and Materials","Postage and Delivery Expense"," 55,440"," 55,290"," 44,960"," 44,960"," 44,960"
"Expenses","Supplies and Materials","Building Materials"," 47,000"," 45,000"," 49,000"," 49,000"," 49,000"
"Expenses","Supplies and Materials","Copying and Binding"," 29,000"," 40,700"," 47,600"," 48,700"," 48,600"
"Expenses","Supplies and Materials","Mis Equipment"," 40,650"," 40,650"," 37,500"," 37,500"," 15,500"
"Expenses","Supplies and Materials","Sidewalk Supplies"," 30,000"," 30,000"," 30,000"," 30,000"," 30,000"
"Expenses","Supplies and Materials","Medical Supplies"," 25,500"," 26,500"," 27,750"," 27,750"," 27,750"
"Expenses","Supplies and Materials","Fire Protective Gear"," 22,000"," 15,000"," 22,000"," 22,000"," 22,000"
"Expenses","Supplies and Materials","Mutt Mitt Supplies"," 12,500"," 12,500"," 15,500"," 15,500"," 15,500"
"Expenses","Supplies and Materials","Household Supplies"," 8,000"," 10,500"," 9,000"," 9,000"," 9,000"
"Expenses","Supplies and Materials","Mileage Reimbursement"," 7,450"," 7,450"," 9,150"," 9,150"," 9,150"
"Expenses","Supplies and Materials","Landscape Supplies"," 5,750"," 5,750"," 6,250"," 6,250"," 6,250"
"Expenses","Supplies and Materials","Graffitti Mitigation Supplie"," 3,000"," 3,000"," 3,000"," 3,000"," 3,000"
"Expenses","Supplies and Materials","Grounds Maintenance Supplies"," 1,800"," 1,800"," 2,000"," 2,000"," 2,000"
"Expenses","Supplies and Materials","Equipment for E-permitting"," 4,000"," 3,000"," 1,000"," 0"," 1,000"
"Expenses","Supplies and Materials","Chemicals"," 1,400"," 1,400"," 1,400"," 1,400"," 1,400"
"Expenses","Capital Outlay Expense",""," 1,156,200"," 1,156,200"," 1,241,130"," 1,241,130"," 1,241,130"
"Expenses","Capital Outlay Expense","Transfer to Equipment Replac"," 1,156,200"," 1,156,200"," 1,241,130"," 1,241,130"," 1,241,130"
"Expenses","Internal Services",""," 1,132,326"," 1,111,920"," 1,091,221"," 1,091,221"," 1,091,221"
"Expenses","Internal Services","Gas and Vehicle Maintenance"," 1,132,326"," 1,111,920"," 1,091,221"," 1,091,221"," 1,091,221"
"Expenses","Repairs and Maintenance",""," 883,331"," 866,377"," 948,800"," 899,800"," 950,300"
"Expenses","Repairs and Maintenance","Rental of Equipment/Faciliti"," 601,631"," 598,491"," 596,400"," 597,400"," 597,900"
"Expenses","Repairs and Maintenance","Repair and Maintenance Equip"," 228,300"," 215,486"," 297,000"," 247,000"," 297,000"
"Expenses","Repairs and Maintenance","Repair and Maintenance Prope"," 53,400"," 52,400"," 55,400"," 55,400"," 55,400"
"Expenses","Other",""," 300,000"," 300,000"," 300,000"," 250,000"," 300,000"
"Expenses","Other","Self Insurance"," 200,000"," 200,000"," 200,000"," 200,000"," 200,000"
"Expenses","Other","Contingency"," 100,000"," 100,000"," 100,000"," 50,000"," 100,000"
"Expenses","Civic Support",""," 120,450"," 100,450"," 120,450"," 98,450"," 120,450"
"Expenses","Civic Support","AIPC"," 18,000"," 18,000"," 18,000"," 18,000"," 18,000"
"Expenses","Civic Support","New Visions"," 15,500"," 15,500"," 15,500"," 15,500"," 15,500"
